name,military record.organization,military record.rank
"Vosler, Forrest L.",U.S. Army,Technical Sergeant
"Johnson, Leon W.",U.S. Army,Colonel
"Briles, Herschel F.",U.S. Army,Staff Sergeant
"Clark, Francis J.",U.S. Army,Technical Sergeant
"Cooley, Raymond H.",U.S. Army,Staff Sergeant
"Dahlgren, Edward C.",U.S. Army,Second Lieutenant
"Daly, Michael J.",U.S. Army,Captain
"Everhart, Forrest E.",U.S. Army,Technical Sergeant
"Kelley, Jonah E.",U.S. Army,Staff Sergeant
"Laws, Robert E.",U.S. Army,Staff Sergeant
"Macgillivary, Charles A.",U.S. Army,Sergeant
"Mccarter, Lloyd G.",U.S. Army,Private
"Neppel, Ralph G.",U.S. Army,Sergeant
"Rudolph, Donald E.",U.S. Army,Second Lieutenant
"Allen, James",U.S. Army,Private
"Gibson, Eric G.",U.S. Army,Technician Fifth Grade
"Mcgill, Troy A.",U.S. Army,Sergeant
"Riordan, Paul F.",U.S. Army,Second Lieutenant
"Sype, Peter",U.S. Army,Principal Musician
"Bradley, George",U.S. Navy,Chief Gunner's Mate
"Treadwell, Jack L.",U.S. Army,Captain
"Turner, George B.",U.S. Army,Private First Class
"Whiteley, Eli",U.S. Army,First Lieutenant
"Brewster, Andre W.",U.S. Army,Captain
"Meyer, Dakota",U.S. Marine Corps,Sergeant
"Adkins, Bennie G.",U.S. Army,Sergeant First Class
"Sloat, Donald P.",U.S. Army,Specialist Fourth Class
"Monti, Jared C.",U.S. Army,Sergeant First Class
"Thorne, Horace M.",U.S. Army,Corporal
"Wainwright, Jonathan M.",U.S. Army,General
"Stumpf, Kenneth E.",U.S. Army,Staff Sergeant (then SPC 4)
"Etchberger, Richard L.",U.S. Air Force,Chief Master Sergeant
"Wilson, Benjamin F.",U.S. Army,First Lieutenant
"Rubin, Tibor",U.S. Army,Corporal
"Knight, Raymond L.",U.S. Army,First Lieutenant
"Thomas, William H.",U.S. Army,Private First Class
"Mcwhorter, William A.",U.S. Army,Private First Class
"Banks, George L.",U.S. Army,Sergeant
"Barfoot, Van T.",U.S. Army,Second Lieutenant
"Roosevelt, Theodore,",U.S. Army,Brigadier General
"Dolby, David Charles",U.S. Army,Sergeant
"Smith, Albert Joseph",U.S. Marine Corps,Private
"Mcconnell, James",U.S. Army,Private
"Barrett, Carlton W.",U.S. Army,Private
"Squires, John C.",U.S. Army,Sergeant
"Harmon, Roy W.",U.S. Army,Sergeant
"Johnson, Leroy",U.S. Army,Sergeant
"Halling, Luovi",U.S. Navy,Boatswain's Mate First Class
"Peters, Alexander",U.S. Navy,Boatswain's Mate First Class
"Holtz, August",U.S. Navy,Chief Watertender
"Lipscomb, Harry",U.S. Navy,Watertender
"Reid, Patrick",U.S. Navy,Chief Watertender
"Roberts, Charles Church",U.S. Navy,Machinist's Mate First Class
"Stanton, Thomas",U.S. Navy,Chief Machinist's Mate
"Westa, Karl",U.S. Navy,Chief Machinist's Mate
"Cole, Robert G.",U.S. Army,Lieutenant Colonel
"Waugh, Robert T.",U.S. Army,First Lieutenant
"Dutko, John W.",U.S. Army,Private First Class
"Jackson, Arthur J.",U.S. Marine Corps,Private First Class
"Lucas, Jacklyn Harold",U.S. Marine Corps,Private First Class
"Williams, Hershel Woodrow",U.S. Marine Corps,Corporal
"Klein, Robert",U.S. Navy,Chief Carpenter's Mate
"Straub, Paul F.",U.S. Army,Surgeon
"Miller, Robert J.",U.S. Army,Staff Sergeant
"Brady, Patrick Henry",U.S. Army,Major
"Jacobs, Jack H.",U.S. Army,1st Lieutenant
"Sprayberry, James M.",U.S. Army,1st Lieutenant
"Patterson, Robert Martin",U.S. Army,Specialist Fourth Class
"Burr, Elmer J.",U.S. Army,First Sergeant
"Gruennert, Kenneth E.",U.S. Army,Sergeant
"Oresko, Nicholas",U.S. Army,Master Sergeant
"Scott, Robert S.",U.S. Army,Captain
"Beikirch, Gary B.",U.S. Army,Sergeant
"Fitzmaurice, Michael John",U.S. Army,Specialist Fourth Class
"Kellogg, Allan Jay,",U.S. Marine Corps,Staff Sergeant
"Thacker, Brian Miles",U.S. Army,First Lieutenant
"Thornton, Michael",U.S. Navy,Seaman
"Thorsness, Leo K.",U.S. Air Force,Major
"Swenson, William D.",U.S. Army,Captain
"Peterson, George",U.S. Army,Staff Sergeant
"Will, Walter J.",U.S. Army,First Lieutenant
"Mcgarity, Vernon",U.S. Army,Technical Sergeant
"Baybutt, Philip",U.S. Army,Private
"Antolak, Sylvester",U.S. Army,Sergeant
"Hedrick, Clinton M.",U.S. Army,Technical Sergeant
"Kelley, Ova A.",U.S. Army,Private
"Reese, John N.",U.S. Army,Private First Class
"Sayers, Foster J.",U.S. Army,Private First Class
"Shockley, William R.",U.S. Army,Private First Class
"Villegas, Ysmael R.",U.S. Army,Staff Sergeant
"Weld, Seth L.",U.S. Army,Corporal
"Waybur, David C.",U.S. Army,First Lieutenant
"Murphy, Michael P.",U.S. Navy,Lieutenant
"Mcgraw, Francis X.",U.S. Army,Private First Class
"Viale, Robert M.",U.S. Army,Second Lieutenant
"Wallace, Herman C.",U.S. Army,Private First Class
"Lee, Howard V.",U.S. Marine Corps,Captain
"Martinez, Joe P.",U.S. Army,Private
"Schauer, Henry",U.S. Army,Private First Class
"Miyamura, Hiroshi H.",U.S. Army,Corporal
"Simanek, Robert E.",U.S. Marine Corps,Private First Class
"Stone, James L.",U.S. Army,First Lieutenant
"Cheli, Ralph",U.S. Army,Major
"Jerstad, John L.",U.S. Army,Major
"Fowler, Thomas W.",U.S. Army,Second Lieutenant
"Glowin, Joseph Anthony",U.S. Marine Corps,Corporal
"Winans, Roswell",U.S. Marine Corps,Brigadier General
"Atkins, Thomas E.",U.S. Army,Private First Class
"Bennett, Edward A.",U.S. Army,Corporal
"Biddle, Melvin E.",U.S. Army,Private First Class
"Burt, James M.",U.S. Army,Captain
"Horner, Freeman V.",U.S. Army,Staff Sergeant
"Durham, Harold Bascom,",U.S. Army,Second Lieutenant
"Carr, Chris",U.S. Army,Sergeant
"Craft, Clarence B.",U.S. Army,Private First Class
"Doss, Desmond T.",U.S. Army,Private First Class
"Kelly, Thomas J.",U.S. Army,Corporal
"Kerstetter, Dexter J.",U.S. Army,Private First Class
"Rodriguez, Cleto",U.S. Army,Technical Sergeant
"Silk, Edward A.",U.S. Army,First Lieutenant
"Sjogren, John C.",U.S. Army,Staff Sergeant
"Soderman, Wililam A.",U.S. Army,Private First Class
"Bleak, David B.",U.S. Army,Sergeant
"Pease, Harl,",U.S. Army,Captain
"Ballen, Frederick",U.S. Army,Private
"Cushing, Alonzo H.",U.S. Army,1st Lieutenant
"Johnston, Gordon",U.S. Navy,First Lieutenant
"Hastings, Joe R.",U.S. Army,Private First Class
"Dewey, Duane E.",U.S. Marine Corps,Corporal
"Mills, James H.",U.S. Army,Private
"Brostrom, Leonard C.",U.S. Army,Private First Class
"Moon, Harold H.",U.S. Army,Private
"Giunta, Salvatore A.",U.S. Army,Staff Sergeant
"Crilley, Frank William",U.S. Navy,Chief Gunner's Mate
"Davis, Sammy L.",U.S. Army,Private First Class
"Taylor, James Allen",U.S. Army,1st Lieutenant
"Wetzel, Gary George",U.S. Army,Private First Class
"Liteky, Angelo J.",U.S. Army,Captain
"Shiels, George F.",U.S. Army,Surgeon
"Gaujot, Julien E.",U.S. Army,Captain
"Bois, Frank",U.S. Navy,Quartermaster
"Cafferata, Hector A.",U.S. Marine Corps,Private
"Bacon, Nicky Daniel",U.S. Army,Staff Sergeant
"Bacon, Elijah W.",U.S. Army,Private
"Baldwin, Frank D.",U.S. Army,First Lieutenant
"Anderson, Everett W.",U.S. Army,Sergeant
"Badger, Oscar Charles",U.S. Navy,Ensign
"Anderson, Edwin A.",U.S. Navy,Captain
"Berkeley, Randolph Carter",U.S. Marine Corps,Major
"Buchanan, Allen",U.S. Navy,Lieutenant Commander
"Butler, Smedley Darlington",U.S. Marine Corps,Major
"Castle, Guy Wilkinson Stuart",U.S. Navy,Lieutenant
"Catlin, Albertus Wright",U.S. Marine Corps,Major
"Courts, George Mccall",U.S. Navy,"Lieutenant, Junior Grade"
"Dyer, Jesse Farley",U.S. Marine Corps,Captain
"Elliott, Middleton Stuart",U.S. Navy,Surgeon
"Fletcher, Frank Friday",U.S. Navy,Rear Admiral
"Fletcher, Frank Jack",U.S. Navy,Lieutenant
"Foster, Paul Frederick",U.S. Navy,Ensign
"Frazer, Hugh Carroll",U.S. Navy,Ensign
"Fryer, Eli Thompson",U.S. Marine Corps,Captain
"Grace, Patrick H.",U.S. Navy,Chief Quartermaster
"Grady, John",U.S. Navy,Lieutenant
"Harrison, William Kelly",U.S. Navy,Commander
"Hartigan, Charles Conway",U.S. Navy,Lieutenant
"Hill, Walter Newell",U.S. Marine Corps,Captain
"Hughes, John Arthur",U.S. Marine Corps,Captain
"Huse, Henry Mclaren Pinckney",U.S. Navy,Captain
"Ingram, Jonas Howard",U.S. Navy,"Lieutenant, Junior Grade"
"Johnston, Rufus Zenas",U.S. Navy,Lieutenant Commander
"Langhorne, Cary Devall",U.S. Navy,Surgeon
"Lannon, James Patrick",U.S. Navy,Lieutenant
"Lowry, George Maus",U.S. Navy,Ensign
"Mccloy, John",U.S. Navy,Chief Boatswain
"Mcdonnell, Edward Orrick",U.S. Navy,Ensign
"Mcnair, Frederick, Vallette",U.S. Navy,Lieutenant
"Moffett, William A.",U.S. Navy,Commander
"Neville, Wendell Cushing",U.S. Marine Corps,Lieutenant Colonel
"Reid, George Croghan",U.S. Marine Corps,Major
"Rush, William Rees",U.S. Navy,Captain
"Stickney, Herman Osman",U.S. Navy,Commander
"Townsend, Julius Curtis",U.S. Navy,Lieutenant
"Wainwright, Richard,",U.S. Navy,Lieutenant
"Wilkinson, Theodore Stark,",U.S. Navy,Ensign
"Nordstrom, Isidor",U.S. Navy,Chief Boatswain
"Donlon, Roger Hugh C.",U.S. Army,Captain
"Mize, Ola L.",U.S. Army,Corporal
"O'Malley, Robert E.",U.S. Marine Corps,Corporal
"Fitzgerald, John",U.S. Marine Corps,Private
"Bong, Richard I.",U.S. Army,Major
"Wise, Homer L.",U.S. Army,Staff Sergeant
"Cicchetti, Joseph J.",U.S. Army,Private First Class
"Gonzales, David M.",U.S. Army,Private First Class
"Grabiarz, William J.",U.S. Army,Private First Class
"Ray, Bernard J.",U.S. Army,First Lieutenant
"Pitsenbarger, William H.",U.S. Air Force,Airman First Class
"Robinson, James E.",U.S. Army,First Lieutenant
"Stryker, Stuart S.",U.S. Army,Private First Class
"Cavaiani, Jon R.",U.S. Army,Staff Sergeant
"Hodges, Addison J.",U.S. Army,Private
"Catherwood, John Hugh",U.S. Navy,Ordinary Seaman
"Harrison, Bolden Reush",U.S. Navy,Seaman
"Henrechon, George Francis",U.S. Navy,Machinist's Mate Second Class
"Mcguire, Fred Henry",U.S. Navy,Hospital Apprentice
"Volz, Jacob",U.S. Navy,Carpenter's Mate Third Class
"Lindbergh, Charles A.",U.S. Army,Captain
"Morris, Charles B.",U.S. Army,Staff Sergeant
"Adams, John G. B.",U.S. Army,Second Lieutenant
"Hayes, Webb C.",U.S. Army,Lieutenant Colonel
"Morgan, John C.",U.S. Army,Second Lieutenant
"Nelson, William L.",U.S. Army,Sergeant
"Reese, James W.",U.S. Army,Private
"Sarnoski, Joseph R.",U.S. Army,Second Lieutenant
"Dietz, Robert H.",U.S. Army,Staff Sergeant
"Wilkin, Edward G.",U.S. Army,Corporal
"Colalillo, Mike",U.S. Army,Private First Class
"Ehlers, Walter D.",U.S. Army,Staff Sergeant
"Marm, Walter Joseph,",U.S. Army,Second Lieutenant
"Petrarca, Frank J.",U.S. Army,Private First Class
"Bjorkman, Ernest H.",U.S. Navy,Ordinary Seaman
"Stupka, Loddie",U.S. Navy,Fireman First Class
"Teytand, August P.",U.S. Navy,Quartermaster Third Class
"Walsh, Michael",U.S. Navy,Chief Machinist
"Perez, Manuel,",U.S. Army,Private First Class
"Anderson, Bruce",U.S. Army,Private
"Chapin, Alaric B.",U.S. Army,Private
"Merrill, George",U.S. Army,Private
"Martinez, Benito",U.S. Army,Corporal
"Pomeroy, Ralphe E.",U.S. Army,Private First Class
"Asten, Charles",U.S. Navy,Quarter Gunner
"Baldwin, Charles",U.S. Navy,Coal Heaver
"Mcgunigal, Patrick",U.S. Navy,Shipfitter First Class
"Cann, Tedford H.",U.S. Navy,Seaman
"Covington, Jesse Whitfield",U.S. Navy,Ship's Cook Third Class
"Graves, Ora",U.S. Navy,Seaman
"Mackenzie, John",U.S. Navy,Chief Boatswain's Mate
"Mcmurtry, George G.",U.S. Army,Captain
"Neibaur, Thomas C.",U.S. Army,Private
"Ormsbee, Francis Edward,",U.S. Navy,Chief Machinist's Mate
"Upton, Frank Monroe",U.S. Navy,Quartermaster
"Whittlesey, Charles W.",U.S. Army,Major
"Adkinson, Joseph B.",U.S. Army,Sergeant
"Allex, Jake",U.S. Army,Corporal
"Allworth, Edward C.",U.S. Army,Captain
"Anderson, Johannes S.",U.S. Army,First Sergeant
"Barger, Charles D.",U.S. Army,Private First Class
"Barkeley, David B.",U.S. Army,Private
"Barkley, John L.",U.S. Army,Private First Class
"Bart, Frank J.",U.S. Army,Private
"Blackwell, Robert L.",U.S. Army,Private
"Call, Donald M.",U.S. Army,Corporal
"Chiles, Marcellus H.",U.S. Army,Captain
"Colyer, Wilbur E.",U.S. Army,Sergeant
"Costin, Henry G.",U.S. Army,Private
"Cukela, Louis",U.S. Marine Corps,Sergeant
"Dilboy, George",U.S. Army,Private First Class
"Dozier, James C.",U.S. Army,First Lieutenant
"Eggers, Alan Louis",U.S. Army,Sergeant
"Ellis, Michael B.",U.S. Army,Sergeant
"Forrest, Arhtur J.",U.S. Army,Sergeant
"Foster, Gary Evans",U.S. Army,Sergeant
"Funk, Jesse N.",U.S. Army,Private First Class
"Furlong, Harold A.",U.S. Army,First Lieutenant
"Gaffney, Frank",U.S. Army,Private First Class
"Gregory, Earl D.",U.S. Army,Sergeant
"Gumpertz, Sydney G.",U.S. Army,First Sergeant
"Hall, Thomas Lee",U.S. Army,Sergeant
"Hatler, M. Waldo",U.S. Army,Sergeant
"Hays, George Price",U.S. Army,First Lieutenant
"Heriot, James D.",U.S. Army,Corporal
"Hill, Ralyn M.",U.S. Army,Corporal
"Hilton, Richmond H.",U.S. Army,Sergeant
"Hoffman, Charles F. (Aka Ernest Janson)",U.S. Marine Corps,Gunnery Sergeant
"Johnston, Harold I.",U.S. Army,Sergeant
"Karnes, James E.",U.S. Army,Sergeant
"Katz, Phillip C.",U.S. Army,Sergeant
"Kaufman, Benjamin",U.S. Army,First Sergeant
"Kelly, John Joseph",U.S. Marine Corps,Private
"Kocak, Matej",U.S. Marine Corps,Sergeant
"Latham, John Cridland",U.S. Army,Sergeant
"Lemert, Milo",U.S. Army,First Sergeant
"Loman, Berger",U.S. Army,Private
"Luke, Frank,",U.S. Army,Second Lieutenant
"Mallon, George H.",U.S. Army,Captain
"Manning, Sidney E.",U.S. Army,Corporal
"Mestrovitch, James I.",U.S. Army,Sergeant
"Miles, L. Wardlaw",U.S. Army,Captain
"Miller, Oscar F.",U.S. Army,Major
"O'Shea, Thomas E.",U.S. Army,Corporal
"Peck, Archie A.",U.S. Army,Private
"Perkins, Michael J.",U.S. Army,Private First Class
"Pike, Emory J.",U.S. Army,Lieutenant Colonel
"Pope, Thomas A.",U.S. Army,Corporal
"Pruitt, John Henry",U.S. Marine Corps,Corporal
"Regan, Patrick",U.S. Army,Second Lieutenant
"Robb, George S.",U.S. Army,First Lieutenant
"Roberts, Harold W.",U.S. Army,Corporal
"Sampler, Samuel M.",U.S. Army,Corporal
"Sandlin, Willie",U.S. Army,Sergeant
"Sawelson, William",U.S. Army,Sergeant
"Schmidt, Oscar",U.S. Navy,Chief Gunner's Mate
"Seibert, Lloyd M.",U.S. Army,Sergeant
"Skinker, Alexander R.",U.S. Army,Captain
"Slack, Clayton K.",U.S. Army,Private
"Talley, Edward R.",U.S. Army,Sergeant
"Turner, Harold L.",U.S. Army,Corporal
"Turner, William B.",U.S. Army,First Lieutenant
"Van Iersel, Ludovicus M. M.",U.S. Army,Sergeant
"Villepigue, John C.",U.S. Army,Corporal
"Ward, Calvin John",U.S. Army,Private
"West, Chester H.",U.S. Army,First Sergeant
"Wickersham, J. Hunter",U.S. Army,Second Lieutenant
"Wold, Nels",U.S. Army,Private
"Woodfill, Samuel",U.S. Army,First Lieutenant
"York, Alvin C.",U.S. Army,Corporal
"Waaler, Reidar",U.S. Army,Sergeant
"Holderman, Nelson M.",U.S. Army,Captain
"O'Neill, Richard W.",U.S. Army,Sergeant
"Baesel, Albert E.",U.S. Army,Second Lieutenant
"Bleckley, Erwin R.",U.S. Army,Second Lieutenant
"Donovan, William Joseph",U.S. Army,Lieutenant Colonel
"Dunn, Parker F.",U.S. Army,Private First Class
"Goettler, Harold Ernest",U.S. Army,First Lieutenant
"Morelock, Sterling",U.S. Army,Private
"Smith, Fred E.",U.S. Army,Lieutenant Colonel
"Donaldson, Michael A.",U.S. Army,Sergeant
"Edwards, Daniel R.",U.S. Army,Private First Class
"Schaffner, Dwite H.",U.S. Army,First Lieutenant
"Thompson, Joseph H.",U.S. Army,Major
"Bronson, Deming",U.S. Army,First Lieutenant
"Valente, Michael",U.S. Army,Private
"Rickenbacker, Edward V.",U.S. Army,First Lieutenant
"Parker, Samuel I.",U.S. Army,Second Lieutenant
"Abrell, Charles G.",U.S. Marine Corps,Corporal
"Adams, James F.",U.S. Army,Private
"Adams, John Mapes",U.S. Marine Corps,Sergeant
"Adams, William E.",U.S. Army,Major
"Adriance, Harry Chapman",U.S. Marine Corps,Corporal
"Agerholm, Harold Christ",U.S. Marine Corps,Private First Class
"Aheam, Michael",U.S. Navy,Paymaster's Steward
"Ahern, William",U.S. Navy,Watertender
"Albee, George E.",U.S. Army,First Lieutenant
"Alchesay, William",U.S. Army,Sergeant
"Allen, Edward",U.S. Navy,Boatswain's Mate First Class
"Allen, William",U.S. Army,First Sergeant
"Anderson, James",U.S. Army,Private
"Anderson, James,",U.S. Marine Corps,Private First Class
"Anderson, Richard Beatty",U.S. Marine Corps,Private First Class
"Anderson, Richard A.",U.S. Marine Corps,Lance Corporal
"Anderson, Webster",U.S. Army,Sergeant First Class
"Anderson, William",U.S. Navy,Coxswain
"Andrews, John",U.S. Navy,Ordinary Seaman
"Antrim, Richard Nott",U.S. Navy,Commander
"Ashley, Eugene,",U.S. Army,Sergeant First Class
"Aston, Edgar R.",U.S. Army,Private
"Atkins, Daniel",U.S. Navy,"Ship's Cook, First Class"
"Atkinson, Thomas E.",U.S. Navy,Yeoman
"Auer, John F.",U.S. Navy,Ordinary Seaman Apprentice
"Austin, Oscar P.",U.S. Marine Corps,Private First Class
"Austin, William G.",U.S. Army,Sergeant
"Avery, William B.",U.S. Army,Lieutenant
"Ayers, James F.",U.S. Army,Private
"Babcock, John B.",U.S. Army,First Lieutenant
"Badders, William",U.S. Navy,Chief Machinist's Mate
"Bailey, James E.",U.S. Army,Sergeant
"Bailey, Kenneth D.",U.S. Marine Corps,Major
"Baird, George W.",U.S. Army,First Lieutenant/Adjutant
"Baker, Benjamin F.",U.S. Navy,Coxswain
"Baker, John F.",U.S. Army,Sergeant
"Balch, John Henry",U.S. Navy,Pharmacist's Mate First Class
"Bancroft, Neil",U.S. Army,Private
"Barber, James A.",U.S. Army,Corporal
"Barber, William E.",U.S. Marine Corps,Captain
"Barker, Jedh Colby",U.S. Marine Corps,Lance Corporal
"Barker, Nathaniel C.",U.S. Army,Sergeant
"Barnes, John Andrew, Iii",U.S. Army,Private First Class
"Barnes, Will C.",U.S. Army,Private First Class
"Barnum, James",U.S. Navy,Boatswain's Mate
"Barrett, Edward",U.S. Navy,Second Class Fireman
"Barrett, Richard",U.S. Army,First Sergeant
"Barrow, David D.",U.S. Navy,Seaman
"Basilone, John",U.S. Marine Corps,Sergeant
"Bates, Richard",U.S. Navy,Seaman
"Bauer, Harold William",U.S. Marine Corps,Lieutenant Colonel
"Baugh, William B.",U.S. Marine Corps,Private First Class
"Bausell, Lewis Kenneth",U.S. Marine Corps,Corporal
"Bearss, Hiram Iddings",U.S. Marine Corps,Colonel
"Beauford, Clay",U.S. Army,First Sergeant
"Bebb, Edward J.",U.S. Army,Private
"Beckwith, Wallace A.",U.S. Army,Private
"Beddows, Richard",U.S. Army,Private
"Beebe, William S.",U.S. Army,First Lieutenant
"Beech, John P.",U.S. Army,Sergeant
"Begley, Terrence",U.S. Army,Sergeant
"Belcher, Ted",U.S. Army,Sergeant
"Belcher, Thomas",U.S. Army,Private
"Belgium, Unknown",U.S. Army,Unknown
"Bell, Dennis",U.S. Army,Private
"Bell, George",U.S. Navy,Captain of the Afterguard
"Bell, J. Franklin",U.S. Army,Colonel
"Bell, James B.",U.S. Army,Sergeant
"Bell, James",U.S. Army,Private
"Bellrichard, Leslie Allen",U.S. Army,Private First Class
"Belpitt, W. H.",U.S. Navy,Captain of the Afterguard
"Benavidez, Roy P.",U.S. Army,Master Sergeant
"Benedict, George G.",U.S. Army,Second Lieutenant
"Benfold, Edward C.",U.S. Navy,Hospital Corpsman Third Class
"Benjamin, John F.",U.S. Army,Corporal
"Benjamin, Samuel N.",U.S. Army,First Lieutenant
"Bennett, Floyd",U.S. Navy,Machinist
"Bennett, James H.",U.S. Navy,Chief Boatswain's Mate
"Bennett, Orren",U.S. Army,Private
"Bennett, Orson W.",U.S. Army,First Lieutenant
"Bennett, Steven L.",U.S. Air Force,Captain
"Bennett, Thomas W.",U.S. Army,Corporal
"Bennion, Mervyn Sharp",U.S. Navy,Captain
"Bensinger, William",U.S. Army,Private
"Benson, James",U.S. Navy,Seaman
"Benyaurd, William H. H.",U.S. Army,First Lieutenant
"Berg, George",U.S. Army,Private
"Bergerndahl, Frederick",U.S. Army,Private
"Berry, Charles Joseph",U.S. Marine Corps,Corporal
"Bertram, Heinrich",U.S. Army,Corporal
"Bessey, Charles A.",U.S. Army,Corporal
"Betham, Asa",U.S. Navy,Coxswain
"Betts, Charles M.",U.S. Army,Lieutenant Colonel
"Beyer, Albert",U.S. Navy,Coxswain
"Beyer, Hillary",U.S. Army,Second Lieutenant
"Bibber, Charles J.",U.S. Navy,Gunner's Mate
"Bickford, Henry H.",U.S. Army,Corporal
"Bickford, John F.",U.S. Navy,Captain of the Top
"Bickford, Matthew",U.S. Army,Corporal
"Bieger, Charles",U.S. Army,Private
"Bigelow, Elmer Charles",U.S. Navy,Watertender First Class
"Binder, Richard",U.S. Marine Corps,Sergeant
"Bingham, Henry H.",U.S. Army,Captain
"Birdsall, Horatio L.",U.S. Army,Sergeant
"Bishop, Daniel",U.S. Army,Sergeant
"Bishop, Francis A.",U.S. Army,Private
"Black, John C.",U.S. Army,Lieutenant Colonel
"Black, William P.",U.S. Army,Captain
"Blackmar, Wilmon W.",U.S. Army,Lieutenant
"Blackwood, William R. D.",U.S. Army,Surgeon
"Blagheen, William",U.S. Navy,Ship's Cook
"Blair, James",U.S. Army,First Sergeant
"Blair, Robert M.",U.S. Navy,Boatswain's Mate
"Blake, Robert",U.S. Navy,Contraband
"Blanchfield, Michael R.",U.S. Army,Specialist Fourth Class
"Blanquet, N/A",U.S. Army,Scout
"Blasdel, Thomas A.",U.S. Army,Private
"Blickensderfer, Milton",U.S. Army,Corporal
"Bliss, George N.",U.S. Army,Captain
"Bliss, Zenas R.",U.S. Army,Colonel
"Blodgett, Wells H.",U.S. Army,First Lieutenant
"Blucher, Charles",U.S. Army,Corporal
"Blume, Robert",U.S. Navy,Seaman
"Blunt, John W.",U.S. Army,First Lieutenant
"Bobo, John P.",U.S. Marine Corps,Second Lieutenant
"Boehm, Peter M.",U.S. Army,Second Lieutenant
"Bond, William",U.S. Navy,Boatswain's Mate
"Bondsteel, James Leroy",U.S. Army,Staff Sergeant
"Bonebrake, Henry G.",U.S. Army,Lieutenant
"Bonnaffon, Sylvester,",U.S. Army,First Lieutenant
"Bonney, Robert Earl",U.S. Navy,Chief Watertender
"Bonnyman, Alexander,",U.S. Marine Corps,First Lieutenant
"Boody, Robert",U.S. Army,Sergeant
"Boon, Hugh P.",U.S. Army,Captain
"Boone, Joel Thompson",U.S. Navy,Lieutenant
"Boquet, Nicholas",U.S. Army,Private
"Bordelon, William James",U.S. Marine Corps,Staff Sergeant
"Boss, Orlando",U.S. Army,Corporal
"Bourke, John G.",U.S. Army,Private
"Bourne, Thomas",U.S. Navy,Seaman/Gun Captain
"Boury, Richard",U.S. Army,Sergeant
"Boutwell, John W.",U.S. Army,Private
"Bowden, Samuel",U.S. Army,Corporal
"Bowen, Chester B.",U.S. Army,Corporal
"Bowen, Emmer",U.S. Army,Private
"Bowen, Hammett L.",U.S. Army,Staff Sergeant
"Bowman, Alonzo",U.S. Army,Sergeant
"Bowman, Edward R.",U.S. Navy,Quartermaster
"Box, Thomas J.",U.S. Army,Captain
"Boydston, Erwin Jay",U.S. Marine Corps,Private
"Boyington, Gregory",U.S. Marine Corps,Major
"Boyne, Thomas",U.S. Army,Sergeant
"Boynton, Henry V.",U.S. Army,Lieutenant Colonel
"Bradbury, Sanford",U.S. Army,First Sergeant
"Bradley, Alexander",U.S. Navy,Landsman
"Bradley, Amos",U.S. Navy,Landsman
"Bradley, Charles",U.S. Navy,Boatswain's Mate
"Bradley, Thomas W.",U.S. Army,Sergeant
"Bradley, Willis Winter",U.S. Navy,Commander
"Brady, George F.",U.S. Navy,Chief Gunner's Mate
"Brady, James",U.S. Army,Private
"Branagan, Edward",U.S. Army,Private
"Brandle, Joseph E.",U.S. Army,Private
"Brannigan, Felix",U.S. Army,Private
"Brant, Abram B.",U.S. Army,Private
"Brant, William",U.S. Army,Lieutenant
"Bras, Edgar A.",U.S. Army,Sergeant
"Bratling, Frank",U.S. Army,Corporal
"Brazell, John",U.S. Navy,Quartermaster
"Breen, John",U.S. Navy,Boatswain's Mate
"Brennan, Christopher",U.S. Navy,Cabin Boy
"Brest, Lewis F.",U.S. Army,Private
"Brett, Lloyd M.",U.S. Army,Second Lieutenant
"Brewer, William J.",U.S. Army,Private
"Breyer, Charles",U.S. Army,Sergeant
"Briggs, Elijah A.",U.S. Army,Corporal
"Bright, George Washington",U.S. Navy,Coal Passer
"Bringle, Andrew",U.S. Army,Corporal
"Brinn, Andrew",U.S. Navy,Seaman
"Brogan, James",U.S. Army,Sergeant
"Bronner, August F.",U.S. Army,Private
"Bronson, James H.",U.S. Army,First Sergeant
"Brookin, Oscar",U.S. Army,Private
"Brophy, James",U.S. Army,Private
"Brosnan, John",U.S. Army,Sergeant
"Brouse, Charles W.",U.S. Army,Captain
"Brown, Benjamin",U.S. Army,Sergeant
"Brown, Charles",U.S. Army,Sergeant
"Brown, Charles",U.S. Marine Corps,Corporal
"Brown, Edward,",U.S. Army,Corporal
"Brown, Henri Le Fevre",U.S. Army,Sergeant
"Brown, James",U.S. Navy,Quartermaster
"Brown, James",U.S. Army,Sergeant
"Brown, Jeremiah Z.",U.S. Army,Captain
"Brown, John",U.S. Navy,Captain of the Forecastle
"Brown, John H.",U.S. Army,First Sergeant
"Brown, John Harties",U.S. Army,Captain
"Brown, John",U.S. Navy,Captain of the Afterguard
"Brown, Lorenzo D.",U.S. Army,Private
"Brown, Morris,",U.S. Army,Captain
"Brown, Robert",U.S. Navy,Captain of the Top
"Brown, Robert B.",U.S. Army,Private
"Brown, Uriah",U.S. Army,Private
"Brown, William H.",U.S. Navy,Landsman
"Brown, Wilson",U.S. Navy,Landsman
"Brown, Wilson W.",U.S. Army,Private
"Brownell, Francis E.",U.S. Army,Private
"Brownell, William P.",U.S. Navy,Coxswain
"Bruce, Daniel D.",U.S. Marine Corps,Private First Class
"Bruner, Louis J.",U.S. Army,Private
"Brush, George W.",U.S. Army,Lieutenant
